timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
434358,30.92,73.35,1007.34,25.79,2628.96,2.119,0.5577,1638.52,1.320,1.4992,100,best
440227,30.94,73.34,1007.35,25.95,2620.24,2.112,0.5628,1633.58,1.316,1.5068,100,best
446096,30.95,73.32,1007.37,25.81,2618.02,2.110,0.5642,1632.78,1.316,1.5080,100,best
451965,30.97,73.32,1007.37,25.74,2607.78,2.102,0.5703,1634.56,1.317,1.5053,100,best
457834,30.98,73.33,1007.37,25.81,2601.70,2.097,0.5740,1627.44,1.311,1.5162,100,best
463703,30.99,73.26,1007.37,25.95,2591.88,2.089,0.5799,1629.84,1.313,1.5125,100,best
469572,31.01,73.19,1007.37,25.76,2583.26,2.082,0.5852,1635.60,1.318,1.5037,100,best
475441,31.02,73.18,1007.38,25.98,2559.00,2.062,0.6002,1631.34,1.315,1.5102,100,best
481310,31.03,73.16,1007.38,26.03,2559.94,2.063,0.5996,1630.92,1.314,1.5109,100,best
487179,31.04,73.13,1007.38,25.92,2567.70,2.069,0.5948,1634.02,1.317,1.5061,100,best
493048,31.05,73.10,1007.38,26.03,2559.00,2.062,0.6002,1642.38,1.324,1.4933,100,best
498917,31.06,73.08,1007.37,25.87,2551.24,2.056,0.6051,1640.40,1.322,1.4963,100,best
504786,31.07,73.04,1007.38,25.88,2547.88,2.053,0.6072,1641.86,1.323,1.4941,100,best
510655,31.09,73.01,1007.38,25.96,2543.38,2.050,0.6101,1644.74,1.325,1.4898,100,best
516524,31.10,72.95,1007.39,26.11,2540.60,2.047,0.6118,1645.34,1.326,1.4888,100,best
522393,31.11,72.93,1007.40,25.95,2530.34,2.039,0.6184,1648.42,1.328,1.4842,100,best
528262,31.12,72.89,1007.40,25.85,2537.52,2.045,0.6138,1648.12,1.328,1.4846,100,best
