12657645,30.88,77.84,1009.97,24.18,1379.06,1.111,1.9694,1583.12,1.276,1.5867,25,worst
12663514,30.92,77.62,1009.96,25.95,1378.34,1.111,1.9710,1582.58,1.275,1.5875,25,worst
12669383,30.96,77.53,1009.96,28.10,1378.88,1.111,1.9698,1578.30,1.272,1.5946,25,worst
12675252,31.00,77.46,1009.97,29.89,1379.68,1.112,1.9681,1586.78,1.279,1.5807,25,worst
12681121,31.03,77.38,1009.97,31.25,1379.38,1.112,1.9687,1586.92,1.279,1.5805,25,worst
12686990,31.06,77.33,1009.96,32.36,1380.74,1.113,1.9658,1592.62,1.283,1.5712,25,worst
12692859,31.08,77.26,1009.96,33.32,1381.88,1.114,1.9634,1593.42,1.284,1.5699,25,worst
12698728,31.10,77.24,1009.97,34.21,1383.08,1.115,1.9608,1593.76,1.284,1.5694,25,worst
12704597,31.12,77.21,1009.97,34.90,1383.40,1.115,1.9601,1600.26,1.290,1.5590,25,worst
12710466,31.14,77.17,1009.96,35.16,1383.68,1.115,1.9595,1586.48,1.278,1.5812,25,worst
12716335,31.16,77.18,1009.96,35.72,1380.36,1.112,1.9666,1584.64,1.277,1.5842,25,worst
12722204,31.17,77.20,1009.95,36.21,1381.08,1.113,1.9651,1582.64,1.275,1.5874,25,worst
12728073,31.19,77.18,1009.95,36.36,1380.94,1.113,1.9654,1558.18,1.256,1.6281,25,worst
12733942,31.20,77.15,1009.96,36.49,1381.70,1.113,1.9637,1558.44,1.256,1.6276,25,worst
12739811,31.22,77.12,1009.96,36.80,1381.16,1.113,1.9649,1554.12,1.252,1.6349,25,worst
12745680,31.23,77.10,1009.96,36.74,1379.52,1.112,1.9684,1554.10,1.252,1.6350,25,worst
12751549,31.25,77.10,1009.97,37.35,1377.86,1.110,1.9720,1554.24,1.253,1.6347,25,worst
12757418,31.26,77.04,1009.97,37.32,1381.36,1.113,1.9645,1555.48,1.254,1.6326,25,worst
12763287,31.27,77.03,1009.97,37.51,1377.58,1.110,1.9726,1556.72,1.254,1.6305,25,worst
